image_path,label,class_name,full_path
Abstract_Expressionism/howard-hodgkin_rain-1989.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/howard-hodgkin_rain-1989.jpg
Abstract_Expressionism/william-scott_dark-brown-orange-and-white-1963.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/william-scott_dark-brown-orange-and-white-1963.jpg
Abstract_Expressionism/mark-tobey_forest-fire-1956.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/mark-tobey_forest-fire-1956.jpg
Abstract_Expressionism/arthur-pinajian_untitled-landscape-bellport-no-1168-1984.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/arthur-pinajian_untitled-landscape-bellport-no-1168-1984.jpg
Abstract_Expressionism/cy-twombly_min-oe.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/cy-twombly_min-oe.jpg
Abstract_Expressionism/frank-stella_swan-engraving-circle-ii-state-iii-1983.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/frank-stella_swan-engraving-circle-ii-state-iii-1983.jpg
Abstract_Expressionism/conrad-marca-relli_untitled-1958.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/conrad-marca-relli_untitled-1958.jpg
Abstract_Expressionism/conrad-marca-relli_summer-rain-j-l-11-1986.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/conrad-marca-relli_summer-rain-j-l-11-1986.jpg
Abstract_Expressionism/mark-tobey_travel-tobey-1959.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/mark-tobey_travel-tobey-1959.jpg
Abstract_Expressionism/aki-kuroda_untitled-5-1982.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/aki-kuroda_untitled-5-1982.jpg
Abstract_Expressionism/dan-christensen_tsara-2001.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/dan-christensen_tsara-2001.jpg
Abstract_Expressionism/jack-tworkov_pink-mississippi-1954.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/jack-tworkov_pink-mississippi-1954.jpg
Abstract_Expressionism/joan-mitchell_untitled-1979.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/joan-mitchell_untitled-1979.jpg
Abstract_Expressionism/frank-bowling_pondlife-2010.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/frank-bowling_pondlife-2010.jpg
Abstract_Expressionism/mark-tobey_morning-grass.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/mark-tobey_morning-grass.jpg
Abstract_Expressionism/jack-bush_collage-for-christmas-1957.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/jack-bush_collage-for-christmas-1957.jpg
Abstract_Expressionism/conrad-marca-relli_the-intrigue-1958.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/conrad-marca-relli_the-intrigue-1958.jpg
Abstract_Expressionism/joan-snyder_smashed-strokes-hope-1971.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/joan-snyder_smashed-strokes-hope-1971.jpg
Abstract_Expressionism/ronnie-landfield_all-over-pour-painting-1969.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/ronnie-landfield_all-over-pour-painting-1969.jpg
Abstract_Expressionism/mostafa-dashti_untitled-2008.jpg,0,0 Abstract_Expressionism,/Users/Avneet/projects/GSOC 2026/assignment/datasets/wikiart_images/wikiart/Abstract_Expressionism/mostafa-dashti_untitled-2008.jpg
